切れる踏切と	断掉的平交道
皆もっと全開で騒ぎな 超ヤベー	各位继续全力嗨起来吧 超赞
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
磨く他に無いセンス	磨练无与伦比的感觉
叫びな all right 	尖叫吧 好不好
燃え上がる程 all night all night	直到熊熊燃烧 整夜 整夜
嫌な物は no	讨厌的东西 都走开
そんなん元々	我本来就那样
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
嫌な物は no	讨厌的东西 都走开
皆超とりこ	全都无法自拔
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
悟り世代	轻松世代
ゆとり世代	宽松世代
他と脱するから脱ゆとり世代	因为我脱离其他人 所以我是脱宽松世代
大人達や周りは俺らに吹き込みぶっ飛んでる maaan	大人们和周围的人都在对我们不停教唆斥责 哥们儿
なんでカマさないんだ 奴は enemy enemy enemy what	为什么不反击啊 他们是敌人 敌人 敌人什么
なんで止めちまうんだ 採れ energy energy energy what	怎能就此作罢啊 拿着吧 能量 能量 能量什么
成りな本気 you know you not lonely	尽全力吧 你知道你并不孤单
明くる朝は今以上	到明天早晨将比现在更强
ブチかませよgo	用力地还击吧 前进
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
磨く他に無いセンス	磨练无与伦比的感觉
叫びな all right 	尖叫吧 好不好
燃え上がる程 all night all night	直到熊熊燃烧 整夜 整夜
嫌な物は no	讨厌的东西 都走开
そんなん元々	我本来就那样
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超 超赞
嫌な物は no	讨厌的东西 都走开
皆超とりこ	全都无法自拔
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超 超赞
これが防弾スタイル	这就是防弹的范儿
軽い wack とは違う	和那些随便的怪家伙不同
生きる hustle life	过着忙碌的生活
これが防弾スタイル	这就是防弹的范儿
軽い wack とは違う	和那些随便的怪家伙不同
生きる hustle life	过着忙碌的生活
準備出来たら騒げ yeah	准备好了就躁起来 耶
目指すありのままで	目标是实事求是
俺のスタイルで	以我的方式
俺のスタイルで eh oh	以我的方式 哎噢
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
さあ今からさ かますぜ	好 现在起 看我的厉害
マジ超ヤベー	真的超赞
もう超超超 こもっちゃう汗	我已超 超 超 汗流浃背
相当当当ヤバめなダンスで	用相当 当 当 厉害的舞步
周りにしきりにビビり気にしてる	看那周围的隔墙都在颤抖 叫人担心
そんな奴と無関係 cuz 俺ってヤベー	那样的家伙与我无关 因为我才是 超赞
ok 俺ら頭からつま先まで 超ヤベー	ok 我们从头到脚都 超赞
四六時中スキル磨いて 超ヤベー	没日没夜地磨练技能 超赞
遊んでいなくても 青春は無くても	就算不去玩乐 就算没有青春
でっかくやるぜと行くだけ明日へと	只管放手一搏 朝着明天迈进
皆もっと全開で騒ぎな 超ヤベー	各位继续全力嗨起来吧 超赞
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
磨く他に無いセンス	磨练无与伦比的感觉
叫びな all right 	尖叫吧 好不好
燃え上がる程 all night all night	直到熊熊燃烧 整夜 整夜
嫌な物は no	讨厌的东西 都走开
そんなん元々	我本来就那样
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
嫌な物は no	讨厌的东西 都走开
皆超とりこ	全都无法自拔
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
悟り世代	轻松世代
ゆとり世代	宽松世代
他と脱するから脱ゆとり世代	因为我脱离其他人 所以我是脱宽松世代
大人達や周りは俺らに吹き込みぶっ飛んでる maaan	大人们和周围的人都在对我们 不停教唆斥责 哥们儿
なんでカマさないんだ 奴は enemy enemy enemy what	为什么不反击啊 他们是 敌人 敌人 敌人什么
なんで止めちまうんだ 採れ energy energy energy what	怎能就此作罢啊 拿着吧 能量 能量 能量什么
成りな本気 you know you not lonely	尽全力吧 你知道你并不孤单
明くる朝は今以上	到明天早晨将比现在更强
ブチかませよgo	用力地还击吧 前进
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
磨く他に無いセンス	磨练无与伦比的感觉
叫びな all right 	尖叫吧 好不好
燃え上がる程 all night all night	直到熊熊燃烧 整夜 整夜
嫌な物は no	讨厌的东西 都走开
そんなん元々	我本来就那样
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
嫌な物は no	讨厌的东西 都走开
皆超とりこ	全都无法自拔
さぁ声上げろ	来吧 提高分贝
超ヤベー	超 超 超 超赞
これが防弾スタイル	这就是防弹的范儿
軽い wack とは違う	和那些随便的怪家伙不同
生きる hustle life	过着忙碌的生活
これが防弾スタイル	这就是防弹的范儿
軽い wack とは違う	和那些随便的怪家伙不同
生きる hustle life	过着忙碌的生活
時間の波を捕まえて	抓住时间的波涛
今すぐに行こう約束の場所	现在就向约定的场所进发
限界無限いざ飛び込め	飞越无限的界限
変わることを恐れないんで	不要惧怕改变
明日の自分見失うだけ	只是迷失了明天的自我
誰より高い空へ飛ぼうぜ	要比任何人都跳的更高
旅立ちはいつも必然	旅行必然会有危险
どうせなら飛び回れ	无论如何 都要飞奔过去
探し出すのさ自分だけの	找寻出 只属于自己的
心を強くする大事な言葉とか	让内心变得坚强的语言
かけがえない思い出を集めて	无可替代的回忆 去收集它们
もう少しあと少し届かない星空	再多一点点 再一点点无法触及的星空
あきらめたらそこが終点さ	如果放弃就意味着结束
始まりはいつも突然	开始总是突然而至
運命をつれてゆく	肩负着命运而行
不可能越えて掴み取るさ	超越不可能 抓住机会
いーじゃんいーじゃんすげーじゃん	真棒 真棒 真强
いーじゃんいーじゃんすげーじゃん	真棒 真棒 真强
いーじゃんいーじゃんすげーじゃん	真棒 真棒 真强
いーじゃんいーじゃんすげーじゃん	真棒 真棒 真强
ドラマよりも 洒落たムード 外にはパームツリーと	比戏剧还要雅致的氛围 连同外面的椰子树
2人だけのparty hotなbody ハナ唄と楽園	仅属于二人的派对 火辣的躯体 花之歌与乐园
恥ずかしげな 顔も全部 隠さなくたっていいよ	羞答答的神情 所有的一切都无需掩饰
潤んだ くちびる 全てを溶かして	湿润的双唇 将一切融化殆尽
スローなtime ハダカのまま	缓慢的时间里 就这么赤裸相待
そう触れるたび 聴かせてよもっと	每一次如此触摸 都让我听到你更多的呢喃
暮れる 陽を見つめながら まだ僕ら夢の中	日渐迟暮 凝视着夕阳 我们仿若还在梦里
目を閉じてfellin 1 2 3	闭上双眼去感受 1 2 3
愛し合うストーリー on your lips	相爱的故事 就在你的唇上
痛いほど 震える喉	十分得疼痛 颤抖的咽喉
黒い 呼吸いきを 空 が 飲み込む	污黑的气息 被天空咽下
汚れた 肌が 雨に溶けて	受染的肌肤 让雨给溶解
嗚呼 今 きっと私は嗤っている	啊啊 现在 我一定在讽笑着
風 になる 消えた真昼	消失的正午 幻化为风
白い 線 が 歪に 包む	白洁的线 缠绕扭曲形体
いつのひにか もじ と なり	当有一天 成了文字
おと と なり みず と なって	成了声音 成了水
あなた と また めぐり あいたい	想与久违的你再次相逢
あんま無理するなよ 俺にはなれない	不行就不要勉强嘛你不可能变成我
人と同じことする考えは狭い 時代遅れで期待外れの	和别人干一样的事思维太狭隘落后于时代落空了期待的老套重复
二番煎じでは一番にはなれない からどうせ	那是最要不得的因为反正
流行りなんてすぐに終わる 一瞬金が儲かる	流行这玩意儿很快就过去了发一瞬间的财
そんなモン壊す そうして新しい物を作る	再那东西破坏掉然后制造出新事物
昔の形崩す 興味が移る 何度も続く	毁掉过去的形态兴趣转移周而复始
格好いい音楽とかファッション	酷的音乐和fashion
大事なのは情熱 パッション your swag	重要的是热情passion your swag
爆笑 ギャグでしょ 変な格好  your swag	 爆笑你在搞笑吧奇怪的打扮 your swag
結局見た目より中身 無理して格好付けるのダサい	到头来比起外表还得靠内在硬要装样子那就是老土
すぐにバレる やっぱり他人の目よりも鏡を見ろ	马上就露馅果然你起别人的眼光还是瞅瞅镜子吧
結局見た目より中身 無理して格好付けるのダサい	到头来比起外表还得靠内在硬要装样子那就是老土
 swag  swag そんな飾りいらない	 swag swag那样的装饰不需要
 取り残された伴奏と泣き声だけが 狭い部屋に響いてた	只剩下伴奏与你的哭声 在这狭小的房间里回荡
 ゴメンと言う君の 震える肩を抱き	我抱住了你一边道歉一边颤抖的肩头
 防犯カメラに背を向け 濡れた頬を指で拭って そっとキスをした	背对着监控摄像头 用手指擦掉你面颊上沾湿的泪 轻轻覆上一吻
 ずるくてもいい 代わりでもいい	耍点小把戏也好 就只是替代品也好
 君の悲しみの一番近くにいたい	我想要在最近的地方伴你共度你的悲伤
 いつか僕が きっと僕が	直到有一天 我一定能够
 彼を忘れさせる その時まで そばにいるよ	让你将他全部忘记 直到那时 我都会一直伴你身旁
 ずるくてもいい 代わりでもいい	耍点小把戏也好 就只是替代品也好
 君の淋しさの一番近くにいたい	我想要在最近的地方伴你感受你的寂寞
 いつか僕を いつか僕を	直到有一天 直到有一天我能
 ホントに好きになるその時まで そばにいるよ	得到你真心的喜欢为止 我都会一直伴你左右
 ずるくてもいい 代わりでもいい	耍点小把戏也好 就只是替代品也好
 君の悲しみの一番近くにいたい	我想要在最近的地方伴你共度你的悲伤
 いつか君が いつか君が	直到有一天 直到有一天你能
 ホントに笑える時が来るまで そばにいるよ	发自内心地与我欢笑之时 我都会一直伴你身旁
なぁ 聞いたか いるらしいぜ 悪魔が	嘿 你听说了么恶魔似乎真的存在
そりゃもうそこらじゅう いるみたいだ悪魔が	而且恶魔似乎就在你我身边
だけど実際 悪魔ってどんな見かけ	但恶魔实际上长什么样子 外貌身形
姿 形 振る舞いまでなんも俺はしらねぇ	言行举止 我都一无所知
そりゃ当然悪りーさ なんせ悪魔だしな	当然都很邪恶 毕竟是恶魔嘛
見た目もきっとオゾマシイ なんせ悪魔だしな	外貌肯定很可怕 毕竟是恶魔嘛
盗む犯す奪う殺す きっと全部あり	偷拐抢骗 杀人放火 无恶不作
誰も知らねーとこできたねー手口使い make money	用不为人知的肮脏手段赚钱
だけどそんな奴は普通	但放眼望去
そこらじゅうに みろよごまんと	这种败类到处都是
いるじゃねーか 実際 どうなってんだ 一体	到底怎么回事
お前と悪魔 俺と悪魔 どこにあんだ違い	你与恶魔 我与恶魔 有何不同
見分けられる奴なんて そりゃもうどこもいない	根本没人能分辨出来
俺は違う 絶対悪魔なんてならない	我绝对不会成为恶魔
本当か	真的么
ちげーよ	才不是
お前は悪魔か	你是恶魔么
それも俺は知らない	我不知道
俺にわかることは俺がどんな奴か それだけ	我只知道自己是怎样的人
お人好しはごめんだ 自分の身守るのは俺だけ	总之不当个滥好人 能保护自己的人只有我自己
突然後ろから刺されちまうかもな	或许突然会被人从身后刺杀
油断したら 身ぐるみ奪われちまう	放松警惕可能就会被人抢劫
あとは殺されるのはいつも弱い奴 それは変わらねー	还有 被人杀害的都是软弱的家伙 这是不变的真理
殺されるのはいつも弱い奴 それは変わらねー	被人杀害的都是软弱的家伙 这是不变的真理
ビビッちまった奴から武器を持って人殺し	害怕的人拿起武器杀人
ビビらない丸腰は逆にそれが命取り	不害怕的人手无寸铁 反遭谋害 致命的错误
まともじゃない奴から順に武器をとってく	越是糟糕的败类
まともな奴からまた順に殺されていく	越会拿起武器
誰が味方誰が敵か 誰もわからないまま	谁是伙伴 谁是敌人 谁都不知道
試されてる 人が人でいるためのあり方	人生而为人的方式正在受考验
疑心暗鬼 暗中模索 始まる負の連鎖	大家充满怀疑 暗自寻找答案 消极连锁反应就此开始
疑心暗鬼 暗中模索 始まる負の連鎖	大家充满怀疑 暗自寻找答案 消极连锁反应就此开始
かけがえのないものを手に入れたのは	曾得到过 无可替代的东西
いつのことだろう 怖くなったよ	是何时之事呢 变得害怕
戦うこと 何かに負けること	战争也好 遭遇失败也好
消えていきそうで 怖くなったよ	仿佛快要消失 感到害怕
変わらないものが欲しくて	想得到不会改变的东西
届かないものが欲しくて	渴求无法传达的东西
終わらない物語だって	是永不完结的故事
どこか遠くで願ってたんだろう	曾在某个远方 如此祈祷
壊せないものを手に入れた	得到了无法毁坏之物
僕は強くなった	我变强了
壊せないものを手に入れた	得到无法毁坏之物的我
僕は弱くなった	变弱了吗
守るべきものに飲み込まれていく	被应当守护之物 鲸吞蚕食
もう いっそのこと君を食べてしまいたい	够了 不如索性 就此将你享用
かけがえのないものを手に入れたのは	曾经拥有无可取代之物
いつのことだろう 怖くなったよ	从何时开始 变得患得患失
戦うこと 何かに負けること	不断战斗 也曾败退几何
消えていきそうで 怖くなったよ	似乎快要消失 惶恐不安
壊せないものを手に入れた	得到无法毁坏之物
僕は強くなった	我变强了
壊せないものを手に入れた	拥有无法毁坏之物的我
僕は弱くなった	变弱了
守るべきものに飲み込まれていく	渐渐被 应当守护之物悉数吞噬
もう いっそのこと君を食べてしまいたい	够了 不如索性 就此将你享用
満たされた様で 乱された様で	仿佛被填满 仿佛被弄乱
忘れないでいて自分の醜さを	我不会忘记 自己的丑陋
輝く未来から 僕を引き剥がして	将我 自光辉的未来剥离
もう いっそのこと君を殺してしまいたい	够了 不如索性 就此将你格杀
焦燥感に駆られたいの	想要被焦躁感驱使
劣等感に狩られていたいの	想要被劣等感猎捕
鮮やかな夕景達よ	鲜明无比的黄昏啊
想像力の支配から解放せよ	从想象的支配中解放吧
鮮やかな夕景達よ	不可方物之黄昏
想像力の支配を支配せよ	夺去一切应许之想象
ねえ もしも今すぐに	呐 如果现在马上
君に会いたいなんて	想见你什么的
言葉にしてしまったら	说着这样的话
どんな顔をするのかな	你会是什么表情呢
目の前じゃ 恥ずかしくて	在你面前我会害羞
とうしても 素直になれないし	无论如何也无法变得坦率
話は散らかってまた	又开始语无伦次
本当の気持ちは 最後までいえなくて	真正的心情直到最后也无法传达
愛を込めて 歌を歌おう	倾注我的爱意唱首歌吧
ありったけの 声で	以我拥有的全部声音
できることは これぐらいしかなくて	我能做到的仅此而已了
散らかった部屋の中	在凌乱的房间中
言葉をまた 探す	我仍在组织我的话语
ひとりで大丈夫	一个人也没关系
言い聞かせてた ときも	我这样告诉自己的时候
いつでもここにいるよと	我随时都在这里哦
笑っててくれたよね	你笑着跟我说
タメかも呟いて	可能做不到我这样发着牢骚
ごめんね 心配かけたよね	对不起让你担心了吧
またちゃんと 伝えられてない	仍然不能好好传达
大切なことだよ まっすぐ届けたいんだよ	这般重要的事想坦率地传达给你啊
愛を込めて 歌を歌おう	倾注我的爱意唱首歌吧
笑っていて 今日も	今天也要保持笑容
できることわ これくらいしかなくて	我能做到的仅此而已了
散らかった部屋でまだ	仍然在凌乱的房间里
夢を見てる	做着梦
慣れない光だけ 追い続けて	只是在不断追逐这尚未习惯的光
振り返らないって 決めてたけど	已经决定不再回头
一人じゃないこと 気づいたから	因为我发现我并不孤独
伝えたい 伝えなきゃ 今すぐ	想要告诉你 一定要告诉你 现在立刻
愛を込めて 歌を歌おう	倾注我的爱意唱首歌吧
ありったけの 声で	以我拥有的全部声音
できることは これしかないから	因为我能做到的仅此而已了
散らかった部屋の中	在凌乱的房间中
今夜もまた 君を想う	今晚也依然在想着你
美しい色合いに 	美丽的颜色合而为一
惹かれて溺れてく 	吸引我们沉溺其中
名の知れた男 	知名的男人
詠み人で空っぽ 	空虚的诗人
鮮やかに化けた 	变得鲜明的
うたかたのメロディ	虚无的旋律
最果て 届いた 	走到尽头
主人公 気取りで 	假装主人公
無駄言 連ねた 	废话连篇
美麗な 言葉で 	漂亮虚无的话语
まだ見ぬその現実に 	被看不见的现实威胁
ぶるぶる脅かされて 	吓得瑟瑟发抖
その心の隙間にさ 	在那心的缝隙里
瞬く間に付け込まれ 	一瞬间趁虚而入
ふらふら彷徨う君に 	在踯躅的你的耳畔
囁くのさ綺麗事 	嗫嚅着漂亮话
有り得ないと知りながら 	虽然知道都是谎言
下らない闇に溶ける 	还是沉溺于乏味的黑暗中
真夜中の帷 	午夜的帷幕
夢見がちな少女 	常常做梦的少女
幸せは罪で 	幸福有罪
憂う事が趣味 	嗜好忧郁
最果て 届いた 	走到尽头
病み人 気取りで 	假装病人
無駄言 連ねた 	废话连篇
杞憂な 言葉で 	杞人忧天的话语
大した事無いくせに 	明明没什么大不了的
自ら禁忌犯して 	却自犯禁忌
心に穴開いたよな 	在那大开的心门里
フリしてまた付け込まれ	 抓住弱点趁虚而入
ふらふら彷徨う君に 	在踯躅的你的耳畔
囁くのさ綺麗事 	嗫嚅着漂亮话
有り得ないと知りながら 	虽然知道都是谎言
下らない闇に溶ける 	还是沉溺于乏味的黑暗中
間抜けな僕達は 	愚蠢的我们
光に憧れて 	憧憬着光明
美しい自愛じこあいに 	美丽的自我与爱
惹かれて溺れてく 	吸引我们沉溺其中
愚かな僕達は 	愚蠢的我们
闇に思い焦がれ 	渴求着黑暗
麗しい黒哀に 	诱人的漆黑与哀
惹かれて溺れてく 	吸引我们沉溺其中
間抜けな僕達は 	愚蠢的我们
光に憧れて 	憧憬着光明
美しい白に 	美丽的纯白
惹かれて溺れてく 	沉溺其中无法自拔
愚かな僕達は 	愚蠢的我们
闇に思い焦がれ 	渴求着黑暗
麗しい黒に 	诱人的漆黑
惹かれて溺れてく 	沉溺其中无法自拔
美しい色合いに	美丽的颜色合而为一
楽しんでかなきゃ nonsense	不能不去享受
サメてばっかいないで	别像只鲨鱼一样双关语
アゲてかなきゃ損	 要是不去享受可就亏大了
弾丸は自分の感性	将我的感情化作子弹
そうさよく狙って	就像这样瞄准狙击
もう昨日の冴えない気分は忘れちゃおう	快点忘记昨日的沉闷
退屈なんてする暇はないよ	根本没空去感觉无聊
もっともっと楽しみたいなら	我只想要更多快乐
弾けていこうよ今は feeling good	就让我们在这一刻感到快乐吧
そういう時間	 就是现在
いけるよ go go go	要上咯 go go go
ビビりすぎは no no no	临时怯场可是不行的哦
少しぐらい調子に乗ってもいいんじゃない	偶尔得意忘形一下也不是不可以
撃ち抜け he4dshot	击穿爆头headshot
キメてみせて he4dshot	 让我看看爆头
ほらもっと 自分の色で染めればgood	别松懈有着自己的颜色就算good
君は君でいいよ解き放て本能	 你就是你自己去尝试解放本能吧
周りなんて気にしないでgo ahead	把周围的气氛放到脑后
縛られてるのは	被他人束缚
なんかシャクじゃない	 不是很难受吗此处シャク为shark的双关
やまない boom boom boom	难以停止的boom boom boom
ヤバめな beep beep beep	很糟糕的beep beep beep
ちょっと刺激強めぐらいでもいいんじゃない	稍微增强一点刺激不也可以吗
しっかり見ててよここからいいとこ	好好看着即将开始的东西
最高のtension	最强的张力
起こせsensation	被唤醒的感知
ビリビリくるbest shot	这精准的一枪让人颤抖
普通の今日を	让平凡的今日
hey guys さぁ撃ち抜け he4dshot	嘿伙计们被我一枪爆头headshot吧
弾けてこうgo go rash	冲起来gogorash
楽しんだら高評価	自己享受这一切就是高评价
hey guys さぁ撃ち抜け he4dshot	嘿伙计们被我一枪爆头headshot吧
勘違いも上等じゃん	有误会又有何不可
主役は自分	 主角就是我自己
楽しんでかなきゃ nonsense	不能不去享受
サメてばっかいないで	别像只鲨鱼一样双关语
アゲてかなきゃ損	 要是不去享受可就亏大了
弾丸は自分の感性	将我的感情化作子弹
そうさよく狙って	就像这样瞄准狙击
需要と供給が一致してんだ 	需求和供给是一致的
それでも頭がこんがらがって 	即便如此脑中还是意乱如麻
だって だって 私は何処に	 毕竟 毕竟我该何去何从
腹を喰って破って血を纏う寄生虫	 蚕食并破开肚子的浴血的寄生虫parasite
兎角この世は生き辛いらしい 	总之在这个世界上似乎很难生存
私だけの哀しみだった 	那曾是独属于我的悲哀之情
分かり合えるはずが無かった 	从未存在能和他人互相理解的可能性
ここはどうやら	这里看来就是
首を吊って腐った屍の楽園 	上吊腐败的尸体的乐园paradise
藻掻く姿も意味があるらしい 	挣扎着的姿态似乎有其意义的样子
散々な疑問符を 	为之献上狼狈的疑问符号qusetion mark吧
望んでるのは尊厳死	 所求之物是安乐死
流行ばかり気にして自由がない 	成天只在意流行的事物毫无自由可言
ハッピーでロックな方がいい	 欢快而且摇滚的曲子更好
繰り返しばっかりじゃ芸がない	 只是不断重复可算不上精彩
って取るに足らない感想ですね 	都是些不值一提的感想呢
そりゃそうさ	这也难怪啦
自分の身体を喰ってる奴らに生かされてんだ 	我是被蚕食着自己的身体的那群家伙延续生命而活着的
狩猟と採集がご趣味のようだ 	狩猎和收集似乎是您们的兴趣呢
そもそも私に愛はありますか	 说到底对我真的有一丝爱意吗
腹を喰って破って血を纏う寄生虫 	蚕食并破开肚子的浴血的寄生虫
兎角この世は生き辛いらしい 	总之在这个世界上似乎很难生存
私だけの哀しみだった 	那曾是独属于我的悲哀之情
分かり合えるはずが無かった 	从未存在能和他人互相理解的可能性
ここはどうやら	这里看来就是
首を吊って腐った屍の楽園 	上吊腐败的尸体的乐园
藻掻く姿も意味があるらしい 	挣扎着的姿态似乎有其意义的样子
散々な疑問符を	 为之献上狼狈的疑问符号吧
腹を喰って破って血を纏う寄生虫	 蚕食并破开肚子的浴血的寄生虫
兎角この世は生き辛いらしい 	总之在这个世界上似乎很难生存
私だけの哀しみだった 	那曾是独属于我的悲哀之情
分かり合えるはずが無かった 	从未存在能和他人互相理解的可能性
ここはどうやら	这里看来就是
首を吊って腐った屍の楽園 	上吊腐败的尸体的乐园
藻掻く姿も意味があるらしい 	挣扎着的姿态似乎有其意义的样子
散々な疑問符を投げかけた貴方に 	对投出狼狈的疑问符号的你
弔いの大団円を	 就献上吊唁的大团圆happy end吧
遠くで波がbreakin	远处的浪花打破宁静
待ち焦がれてた夏がawakin	唤醒我们翘首以盼的夏季
君のこと誘い出し	以此来邀请你
wanna take you away 煌めく海へ	想要带你去看那熠熠生辉的大海
まぶしいプリズムdiamond ring	耀眼的后视镜宛如钻戒般
君にきらり	映照着你
乱反射のさざ波と	光芒折射海面波光粼粼
shooting映画のようなscene	宛如电影画面般美丽的风景
消えないように	但愿此刻不要消失
胸の中に残したくて	希望能够永远残留于心
今しか見えぬ光	若是能够紧握
今しかない風を捕まえたら	这一瞬间的风和光芒
終わり来ない二人の夏に	我们的夏季就不会结束
このまま時止めてみたい	希望时光能就此静止
感じたい君とsummervibes	想要与你一同感受夏日的氛围
ほらchampagneみたいに弾けてくwaves	你看 海浪拍打在岸边的浪花 宛如绽开的香槟
君とo o oh	与你一起 哦 哦 哦
君とo o oh	和你一起 哦 哦 哦
yeah ガンガン気温とともにi get high	耶 烈日炎炎让我感觉到情绪高涨
outfit まるで真夏のアゲハ	今天的装扮宛如盛夏的凤蝶
お気に入りプレイリスト	打开喜欢的播放列表
ヴォリューム上げたら	将音乐开至最大声
sunshineとpalm tree	灿烂的阳光和棕榈树
まぶしいbeach	还有耀眼的沙滩
すでにコンディション	此刻已经是再完美
かなり良い	不良的状态
迷ってる暇はない	根本就无暇迷茫
yeah 弾け気味にi want it girl	耶 心情雀跃 我渴望 女孩
逆光で 微笑む君	在逆光中莞尔一笑的你
長い髪 風になびいていた	长长的秀发 随着微风飘扬
そのままの君忘れたくない	那一刻的模样我想铭刻于心
夢なら覚めないでいたい	若是一场梦那就不要让我苏醒
最高の君とsummervibes	和无与伦比的你共享夏日的氛围
ほら青空駆け抜けてくsuv	你看 宛如驱车驰骋在蓝天之下
君とo o oh	与你一起 哦 哦 哦
君とo o oh	与你一起 哦 哦 哦
君と見つめてるsunset	共赏的美丽夕阳
沈まないでいて	请不要落下
終わらぬ夏照らしてよ	照亮这永不结束的夏天吧
このまま時止めてみたい	希望时光能就此静止
感じたい君とsummervibes	想要与你一同感受夏日的氛围
ほらchampagneみたいに弾けてくwaves	你看 海浪拍打在岸边的浪花 宛如绽开的香槟
夢なら覚めないでいたい	若是一场梦那就不要让我苏醒
最高の君とsummervibes	和无与伦比的你共享夏日的氛围
ほら青空駆け抜けてくsuv	你看 宛如驱车驰骋在蓝天之下
君とo o oh	与你一起 哦 哦 哦
君とo o oh	与你一起 哦 哦 哦
もう一度セﾞロに戻れたのならはﾞいいのにね 	如果一切都能够重头再来的话就好了
そんなこと考える時点てﾞ負けてるなぁとか 	但这样子去想的时候就等于自己认输
積み上けﾞた記憶束ねてきれいな花にする 	将堆积的记忆编束成美丽的鲜花
きのうより空はきれいにてﾞきたか 	这片天空变得比昨日更加清澈了吗
きのうより夢は大きくなったか 	这个梦想变得比昨天更加巨大了吗
きみの眼に映るきみは黒かないか 	从你眼中映出的自己也还是一片黑暗吗
今直くﾞ消えたいとか思っていたら 	你考虑清楚要从这里消失了吗
今いる場所に この音かﾞ行って 	现在这个地方 正在播放这音乐
真っ白の声てﾞ 闇を吹き飛はﾞす 	用纯白的歌声 吹散一切的黑暗
視えてきたなら 溢れる涙ふいて 	如果看见的话 就擦干溢出的泪水
のんひﾞり行こうせﾞ wonderreport 	慢悠悠地走下去吧 wonderreport
何をしても不器用で	 无论做什么都很笨拙
何かとミスしてばっか	 而且还总是会犯错
ダメダメな私だって	 即使是如此废柴的我
できる事があるの	 也有可以做到的事情
凹んで悲しくたって	 无论失落之时还是悲伤之时
笑顔にしてあげるんだ	 我都会让你重绽笑容
ここにいるから	 我就在这里啊
早く 私を見つけてね	 快一点 来找到我吧
